Label,variable,value
Umami_SCM,Accuracy,0.737864078
Bitter_SCM,Accuracy,0.640776699
Umami_YYDS,Accuracy,0.735436893
Bitter_BERT,Accuracy,0.699029126
Q-Value,Accuracy,0.655339806
Umami_SCM,Precision,0.804054054
Bitter_SCM,Precision,0.723214286
Umami_YYDS,Precision,0.706976744
Bitter_BERT,Precision,0.798387097
Q-Value,Precision,0.659090909
Umami_SCM,Recall,0.601010101
Bitter_SCM,Recall,0.409090909
Umami_YYDS,Recall,0.767676768
Bitter_BERT,Recall,0.5
Q-Value,Recall,0.585858586
Umami_SCM,F1,0.687861272
Bitter_SCM,F1,0.522580645
Umami_YYDS,F1,0.736077482
Bitter_BERT,F1,0.614906832
Q-Value,F1,0.620320856
Umami_SCM,Matthews Corrcoef,0.484755439
Bitter_SCM,Matthews Corrcoef,0.296724748
Umami_YYDS,Matthews Corrcoef,0.473379216
Bitter_BERT,Matthews Corrcoef,0.417380807
Q-Value,Matthews Corrcoef,0.308543703
