Model,variable,Value
LR,ROC,0.854166667
LR,ROC,0.875
LR,ROC,0.895833333
LR,ROC,0.872340426
LR,ROC,0.829787234
SGD,ROC,0.854166667
SGD,ROC,0.875
SGD,ROC,0.875
SGD,ROC,0.893617021
SGD,ROC,0.85106383
LD,ROC,0.854166667
LD,ROC,0.833333333
LD,ROC,0.8125
LD,ROC,0.829787234
LD,ROC,0.829787234
SVC,ROC,0.895833333
SVC,ROC,0.854166667
SVC,ROC,0.895833333
SVC,ROC,0.893617021
SVC,ROC,0.85106383
NSVC,ROC,0.875
NSVC,ROC,0.833333333
NSVC,ROC,0.916666667
NSVC,ROC,0.893617021
NSVC,ROC,0.829787234
DT,ROC,0.854166667
DT,ROC,0.916666667
DT,ROC,0.875
DT,ROC,0.936170213
DT,ROC,0.85106383
ABT,ROC,0.833333333
ABT,ROC,0.833333333
ABT,ROC,0.916666667
ABT,ROC,0.914893617
ABT,ROC,0.893617021
BT,ROC,0.916666667
BT,ROC,0.875
BT,ROC,0.9375
BT,ROC,0.936170213
BT,ROC,0.893617021
GTBT,ROC,0.9375
GTBT,ROC,0.895833333
GTBT,ROC,0.958333333
GTBT,ROC,0.936170213
GTBT,ROC,0.85106383
RF,ROC,0.9375
RF,ROC,0.916666667
RF,ROC,0.9375
RF,ROC,0.936170213
RF,ROC,0.893617021
XGBT,ROC,0.895833333
XGBT,ROC,0.895833333
XGBT,ROC,0.9375
XGBT,ROC,0.914893617
XGBT,ROC,0.829787234
KN,ROC,0.9375
KN,ROC,0.854166667
KN,ROC,0.895833333
KN,ROC,0.936170213
KN,ROC,0.872340426
BNB,ROC,0.875
BNB,ROC,0.875
BNB,ROC,0.875
BNB,ROC,0.872340426
BNB,ROC,0.829787234
GNB,ROC,0.875
GNB,ROC,0.854166667
GNB,ROC,0.875
GNB,ROC,0.872340426
GNB,ROC,0.85106383
LR,ACC,0.944444444
LR,ACC,0.914930556
LR,ACC,0.930555556
LR,ACC,0.945652174
LR,ACC,0.947463768
SGD,ACC,0.944444444
SGD,ACC,0.918402778
SGD,ACC,0.940972222
SGD,ACC,0.945652174
SGD,ACC,0.954710145
LD,ACC,0.930555556
LD,ACC,0.916666667
LD,ACC,0.934027778
LD,ACC,0.923913043
LD,ACC,0.952898551
SVC,ACC,0.960069444
SVC,ACC,0.935763889
SVC,ACC,0.956597222
SVC,ACC,0.923913043
SVC,ACC,0.94384058
NSVC,ACC,0.958333333
NSVC,ACC,0.925347222
NSVC,ACC,0.949652778
NSVC,ACC,0.951086957
NSVC,ACC,0.925724638
DT,ACC,0.854166667
DT,ACC,0.916666667
DT,ACC,0.875
DT,ACC,0.936594203
DT,ACC,0.851449275
ABT,ACC,0.958333333
ABT,ACC,0.927083333
ABT,ACC,0.979166667
ABT,ACC,0.958333333
ABT,ACC,0.934782609
BT,ACC,0.9765625
BT,ACC,0.934895833
BT,ACC,0.9921875
BT,ACC,0.94384058
BT,ACC,0.93115942
GTBT,ACC,0.975694444
GTBT,ACC,0.942708333
GTBT,ACC,0.991319444
GTBT,ACC,0.93115942
GTBT,ACC,0.929347826
RF,ACC,0.984375
RF,ACC,0.933159722
RF,ACC,0.987847222
RF,ACC,0.951086957
RF,ACC,0.944746377
XGBT,ACC,0.963541667
XGBT,ACC,0.918402778
XGBT,ACC,0.991319444
XGBT,ACC,0.923913043
XGBT,ACC,0.905797101
KN,ACC,0.948784722
KN,ACC,0.915798611
KN,ACC,0.919270833
KN,ACC,0.927536232
KN,ACC,0.932971014
BNB,ACC,0.944444444
BNB,ACC,0.909722222
BNB,ACC,0.920138889
BNB,ACC,0.927536232
BNB,ACC,0.942028986
GNB,ACC,0.918402778
GNB,ACC,0.881076389
GNB,ACC,0.940104167
GNB,ACC,0.924818841
GNB,ACC,0.94384058
